,"smt.arith.nl.patch_monomials=false","-file:{0} smt.arith.nl.patch_monomials=false",,,,,,
,"RV 11692","T_norm 11692","T_cpu 11692","T_wc 11692","# SAT 11692","# UNSAT 11692","# UNKNOWN 11692",
"QF_NIA_small\75.smt2",0,0.0651404942208051,0.078,0.401,1,0,0,
"QF_NIA_small\750.smt2",0,0.548447986577181,0.625,0.837,1,0,0,
"QF_NIA_small\781.smt2",0,0.0684125156969443,0.078,0.17,1,0,0,
"QF_NIA_small\788.smt2",0,0.0607122956909361,0.078,0.287,1,0,0,
"QF_NIA_small\798.smt2",0,0.17211496270294,0.188,0.246,1,0,0,
"QF_NIA_small\808.smt2",0,0.0912330542264753,0.109,0.178,1,0,0,
"QF_NIA_small\821.smt2",0,0.432848173515982,0.453,0.605,1,0,0,
"QF_NIA_small\824.smt2",0,0.777117384843982,1,1.216,1,0,0,
"QF_NIA_small\828.smt2",0,0.0844638242894057,0.094,0.205,1,0,0,
"QF_NIA_small\83.smt2",0,1.7702298488665,2.016,2.255,0,1,0,
"QF_NIA_small\841.smt2",0,0.0896600705329154,0.109,0.197,1,0,0,
"QF_NIA_small\843.smt2",0,0.258512741652021,0.281,0.428,1,0,0,
"QF_NIA_small\849.smt2",0,0.104017501988862,0.125,0.232,1,0,0,
"QF_NIA_small\866.smt2",0,40.3842659883721,46.484,48.389,1,0,0,
"QF_NIA_small\888.smt2",0,0.0275960320810469,0.031,0.16,1,0,0,
"QF_NIA_small\891.smt2",0,0.0429345446584939,0.047,0.176,1,0,0,
"QF_NIA_small\909.smt2",0,0.0656112003211562,0.078,0.223,1,0,0,
"QF_NIA_small\93.smt2",0,21.7862105658488,20.797,21.614,1,0,0,
"QF_NIA_small\940.smt2",0,0.249522900763359,0.297,0.433,1,0,0,
"QF_NIA_small\946.smt2",0,0.0699048331907613,0.078,0.193,1,0,0,
"QF_NIA_small\947.smt2",0,0.0814810968009971,0.094,0.228,1,0,0,
"QF_NIA_small\966.smt2",,928.539724811363,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,854.575163398693,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.246698113207547,0.281,0.424,1,0,0,
"QF_NIA_small\99.smt2",,845.252525252525,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.290908171521036,0.344,0.532,1,0,0,
