,"smt.arith.nl.incremental_linearization=false","-file:{0} smt.arith.nl.incremental_linearization=false",,,,,,
,"RV 11691","T_norm 11691","T_cpu 11691","T_wc 11691","# SAT 11691","# UNSAT 11691","# UNKNOWN 11691",
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.7235060690943,3.813,4.244,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0839863823227133,0.078,0.222,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,0.111752136752137,0.125,0.423,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.604052918941621,0.688,1.022,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.0417464878671775,0.047,0.249,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.126206563706564,0.141,0.46,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0384106933019977,0.047,0.157,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.372962510187449,0.438,0.548,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,6.69635002094679,7.641,7.972,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.157426663747811,0.172,0.263,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0357240437158469,0.031,0.134,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.265752032520325,0.266,0.384,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0594318181818182,0.063,0.202,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.139690170940171,0.156,0.43,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,12.1126269035533,13.688,14.405,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.050391829393628,0.047,0.402,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.66114552708946,1.891,2.212,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.102057314897413,0.109,0.253,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0695774797786292,0.078,0.159,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.383864046973803,0.406,0.7,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.04578081232493,0.047,0.381,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",,1075.02569373073,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.0896249510379945,0.109,0.215,0,1,0,
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,8.3219777872704,9.313,9.718,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,10.0016168599465,10.719,11.22,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.0885840108401084,0.094,0.192,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0417464878671775,0.047,0.262,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.73158846872082,2.797,3.101,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.14480325504738,1.328,1.712,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.0384106933019977,0.047,0.159,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.0430098684210526,0.047,0.274,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0433329650905877,0.047,0.136,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,878.622427551449,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.0967085798816569,0.109,0.224,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.15983340545219,1.281,1.496,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.0565527681660899,0.063,0.11,1,0,0,
