,"smt.arith.nl.divisions_check=false","-file:{0} smt.arith.nl.divisions_check=false",,,,,,
,"RV 11682","T_norm 11682","T_cpu 11682","T_wc 11682","# SAT 11682","# UNSAT 11682","# UNKNOWN 11682",
"QF_NIA_small\866.smt2",0,39.2546668729373,45.484,47.324,1,0,0,
"QF_NIA_small\888.smt2",0,0.0830897305541434,0.078,0.209,1,0,0,
"QF_NIA_small\891.smt2",0,0.0627881290818287,0.078,0.155,1,0,0,
"QF_NIA_small\909.smt2",0,0.0617036337895234,0.063,0.187,1,0,0,
"QF_NIA_small\93.smt2",0,23.6107807093426,26.094,27.154,1,0,0,
"QF_NIA_small\940.smt2",0,0.1615793376174,0.156,0.265,1,0,0,
"QF_NIA_small\946.smt2",0,0.0613849765258216,0.063,0.207,1,0,0,
"QF_NIA_small\947.smt2",0,0.0561158798283262,0.063,0.184,1,0,0,
"QF_NIA_small\966.smt2",,899.398108340499,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,948.322756119674,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.12869094488189,0.141,0.257,1,0,0,
"QF_NIA_small\99.smt2",,885.315277190013,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.27144340034965,0.297,0.472,1,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,1.10711261642676,1.25,1.759,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.0299747822099954,0.031,0.135,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0314000960614794,0.031,0.155,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0272736754276178,0.031,0.124,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0682126460767947,0.078,0.488,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,10.7625,13.453,14.132,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0283376679670568,0.031,0.505,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.156399521531101,0.188,0.498,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.126152444253859,0.141,0.382,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0407236295681063,0.047,0.202,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.0287995594713656,0.031,0.156,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.276027777777778,0.297,0.506,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,9.44819866722199,10.844,11.393,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.106257618854124,0.125,0.56,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.0260354440461967,0.031,0.284,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.549962251941329,0.609,0.78,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.44336942538593,4.953,5.255,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,35.1936944834035,35.984,37.409,0,1,0,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0438366115333036,0.047,0.237,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0535641130684146,0.063,0.251,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0281061908856406,0.031,0.178,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.21570727120769,1.391,1.645,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,13.7900390625,15.609,16.262,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,17.2513626079803,20.047,20.877,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.0412547328565419,0.047,0.157,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,5.93609985700668,5.953,6.181,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0254873294346978,0.031,0.113,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,24.3245147333957,24.859,25.898,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0535421785421785,0.063,0.193,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,1.64320211882011,1.891,2.224,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.651664673046252,0.781,1.103,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,30.5166296531303,34.484,35.869,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.791130426431041,0.984,1.323,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.0876340482573727,0.094,0.227,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.480056742323097,0.516,0.79,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.0581369497554469,0.063,0.208,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,8.68199204406365,10.172,10.644,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.18604969352014,0.203,0.584,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.042803360977739,0.047,0.229,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.094200288184438,0.109,0.197,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.0831390419669351,0.094,0.221,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.073153674002238,0.094,0.24,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.737738715277778,0.813,1.014,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.0265536149471974,0.031,0.152,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.0548218029350105,0.063,0.149,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,3.48410616869492,3.969,4.189,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,55.8794163223141,64.641,67.282,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,4.9869391025641,5.578,5.917,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,8.12327421410365,9.141,9.518,0,1,0,
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.86841727307545,4.828,5.053,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0583966056275123,0.063,0.172,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,0.702529399837794,0.828,1.017,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.652662229617304,0.75,0.934,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.0578795927401505,0.063,0.203,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.127188715953307,0.141,0.266,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0574472759226714,0.063,0.219,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.379630556668002,0.453,0.67,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,7.33382168271243,8.375,8.692,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.174871399176955,0.203,0.394,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0446550546448087,0.047,0.138,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.246698113207547,0.281,0.465,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0261290967226219,0.031,0.205,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.139214224872232,0.156,0.272,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,14.5082211538462,18.031,18.745,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.0467186755597904,0.047,0.194,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.78141219723183,1.969,2.142,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.132660308441558,0.156,0.239,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0571210135430319,0.063,0.146,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.391112218999275,0.516,0.698,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0452526534379326,0.047,0.145,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,25.5079241071429,27.313,28.417,0,1,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.115759185480301,0.125,0.247,0,1,0,
