,"smt.arith.nl.branching=false","-file:{0} smt.arith.nl.branching=false",,,,,,
,"RV 11681","T_norm 11681","T_cpu 11681","T_wc 11681","# SAT 11681","# UNSAT 11681","# UNKNOWN 11681",
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,8.19639412773253,9.141,10.584,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,9.41750418760469,10.75,11.175,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.0896952175617404,0.109,0.509,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0287489006156552,0.031,0.112,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.5745618556701,2.984,3.27,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.06322977481234,1.219,1.998,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.0572711344721858,0.063,0.13,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.0549600672551492,0.063,0.166,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0624522353840275,0.078,0.452,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,873.48643006263,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.119880806845966,0.141,0.477,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.14413491360213,1.234,1.563,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.0575230972283326,0.063,0.437,1,0,0,
"QF_NIA_small\aproveSMT3400215009548742987.smt2",0,1.44596179624665,1.547,1.89,0,1,0,
"QF_NIA_small\aproveSMT3417012265546351137.smt2",0,0.226996527777778,0.25,0.41,1,0,0,
"QF_NIA_small\aproveSMT342988194676879281.smt2",0,4.06142887746358,4.531,4.827,1,0,0,
"QF_NIA_small\aproveSMT3496695621216907819.smt2",0,4.65836352657005,5.531,5.814,0,1,0,
