,"smt.arith.nl.propagate_monomial_bounds=false","-file:{0} smt.arith.nl.propagate_monomial_bounds=false",,,,,,
,"RV 11694","T_norm 11694","T_cpu 11694","T_wc 11694","# SAT 11694","# UNSAT 11694","# UNKNOWN 11694",
"QF_NIA_small\947.smt2",0,0.0940309241280115,0.125,0.204,1,0,0,
"QF_NIA_small\966.smt2",,852.485737571312,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,831.148192292412,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.252156922452294,0.297,0.48,1,0,0,
"QF_NIA_small\99.smt2",,930.19119608715,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.295449876746097,0.344,0.638,1,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,0.842308996383363,0.891,1.163,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.0536740558292282,0.063,0.162,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0264890599675851,0.031,0.147,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0279260999572832,0.031,0.099,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0269921552436003,0.031,0.168,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,9.33928571428572,10.875,11.279,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0276193493874102,0.031,0.123,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.157702850877193,0.172,0.444,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.138636899151744,0.141,0.384,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0426173402868318,0.047,0.153,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.027468487394958,0.031,0.299,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.265752032520325,0.297,0.627,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,8.88041907514451,10.281,10.787,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.118671843485276,0.141,0.246,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.0380677406832298,0.047,0.188,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.501781798245614,0.547,0.704,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.0184893570808,4.422,4.78,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,64.6865633859862,76.344,79.409,0,1,0,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0573464912280702,0.063,0.245,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0414290240811153,0.047,0.152,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0330010095911156,0.031,0.233,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.29394439208294,1.313,1.606,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,13.7369893524555,15.109,15.759,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,15.1488707983193,17.234,18.124,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.0419608472400513,0.047,0.161,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,5.47209056070996,6.484,6.755,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.029408457040036,0.031,0.138,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,19.2254111842105,20.953,21.787,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0701749677973379,0.078,0.394,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,1.66730068581226,1.859,2.095,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.681877444589309,0.75,1.052,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,28.3045234248788,33.5,35.093,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.742179951690821,0.734,0.867,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.109873949579832,0.125,0.453,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.472121920135939,0.531,0.789,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.054867813680235,0.063,0.181,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,8.3925471495928,9.359,9.789,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.1634375,0.188,0.393,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.0436415220293725,0.047,0.204,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.0809096534653465,0.094,0.211,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.0852346805736637,0.094,0.195,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.0705079810181191,0.078,0.123,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.591694260485651,0.641,0.888,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.0436415220293725,0.047,0.154,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.0297294224647567,0.031,0.147,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,3.43866027227723,3.984,4.31,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,54.995965085639,59.859,62.297,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,4.29637927482489,4.984,5.5,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,6.26474902216428,6.891,7.356,0,1,0,
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.58697160546541,4.016,4.381,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0546613712374582,0.063,0.124,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,0.521759059534081,0.578,0.901,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.719988986784141,0.781,1.196,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.0405887831125828,0.047,0.17,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.114092495636998,0.125,0.358,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0561399742378703,0.063,0.167,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.317634717314488,0.344,0.658,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,6.63852097130243,7.188,7.582,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.177057291666667,0.203,0.505,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0581886960391633,0.063,0.181,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.258285776997366,0.281,0.543,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0445941336971351,0.047,0.149,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.122988085284281,0.141,0.202,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,13.4377531389226,15.859,16.735,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.0505998452012384,0.063,0.165,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.69964122296173,1.953,2.171,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.103864049024058,0.109,0.255,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0420327903986284,0.047,0.196,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.431665528233151,0.453,1.691,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0398304224207961,0.047,0.171,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,43.2552279381012,49.438,51.492,0,1,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.116377392078327,0.125,0.367,0,1,0,
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,8.26626959570957,9.578,9.977,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,9.02339810924369,10.266,10.65,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.0970531472684086,0.078,1.002,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0478353658536586,0.047,0.261,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.60811563385986,3.078,3.38,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.18055825242718,1.453,1.59,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.0549369747899159,0.063,0.217,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.0551222596964587,0.063,0.167,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0455257660167131,0.047,0.158,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,918.752744839701,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.123608193277311,0.141,0.228,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.11972990777339,1.219,1.504,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.0265752032520325,0.031,0.23,1,0,0,
"QF_NIA_small\aproveSMT3400215009548742987.smt2",0,1.41144572235674,1.672,1.969,0,1,0,
"QF_NIA_small\aproveSMT3417012265546351137.smt2",0,0.230092388913331,0.25,0.573,1,0,0,
