,"enable_gcd=false","-file:{0} smt.arith.enable_gcd=false",,,,,,
,"RV 11679","T_norm 11679","T_cpu 11679","T_wc 11679","# SAT 11679","# UNSAT 11679","# UNKNOWN 11679",
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.55708985985161,4.125,4.328,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0600045892611289,0.063,0.139,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,0.668763048016701,0.766,0.966,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.626299429270281,0.734,0.932,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.049352038248616,0.047,0.16,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.119297445255475,0.125,0.452,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0605885078776645,0.063,0.185,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.341951973371374,0.344,0.588,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,7.14018505903724,7.516,7.905,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.188108676405489,0.203,0.476,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0707521645021645,0.078,0.17,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.282153646957272,0.313,0.528,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0286105032822757,0.031,0.167,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.165316091954023,0.172,0.26,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,13.1433838912134,15.016,15.56,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.0266945692119232,0.031,0.259,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.8039090444558,1.688,1.865,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.139889443651926,0.141,0.257,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0658027176648213,0.063,0.147,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.41551906779661,0.422,0.62,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0616163996229972,0.063,0.155,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,23.0577318075117,28.172,29.381,0,1,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.126206563706564,0.141,0.297,0,1,0,
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,8.23555194805195,9.094,9.442,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,10.1761392729135,9.5,9.909,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.0751436781609195,0.078,0.341,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0473046309696094,0.047,0.166,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.95640648952479,2.766,2.954,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.08046548117155,1.234,1.436,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.049277638190955,0.047,0.14,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.0414815989847716,0.047,0.216,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0409446764091858,0.047,0.164,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,1009.165460685,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.0989673442906574,0.109,0.262,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.25827516920474,1.422,1.657,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.0471908084696824,0.047,0.142,1,0,0,
"QF_NIA_small\aproveSMT3400215009548742987.smt2",0,1.53434192360791,1.594,1.798,0,1,0,
"QF_NIA_small\aproveSMT3417012265546351137.smt2",0,0.250692373242437,0.281,0.518,1,0,0,
"QF_NIA_small\aproveSMT342988194676879281.smt2",0,4.13932160804022,3.938,4.22,1,0,0,
"QF_NIA_small\aproveSMT3496695621216907819.smt2",0,5.31040614960991,5.531,5.941,0,1,0,
