,"smt.arith.nl.horner=false","-file:{0} smt.arith.nl.horner=false",,,,,,
,"RV 11687","T_norm 11687","T_cpu 11687","T_wc 11687","# SAT 11687","# UNSAT 11687","# UNKNOWN 11687",
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,10.2690818584071,11.094,11.513,0,1,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.143177836180464,0.156,0.353,0,1,0,
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,9.16537350171232,10.234,10.721,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,9.96481419670672,10.703,11.493,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.0807431041580898,0.094,0.154,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0416224533106961,0.047,0.1,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.52435278630979,2.75,3.016,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,0.992483241324921,1.203,1.484,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.0574978012313105,0.063,0.158,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.054253112033195,0.063,0.18,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0387752075919336,0.047,0.205,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,882.700421940928,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.11310553633218,0.125,0.576,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.2143520541958,1.328,1.503,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.0532153032153032,0.063,0.11,1,0,0,
"QF_NIA_small\aproveSMT3400215009548742987.smt2",0,1.53753957485301,1.625,1.916,0,1,0,
"QF_NIA_small\aproveSMT3417012265546351137.smt2",0,0.22388698630137,0.25,0.454,1,0,0,
"QF_NIA_small\aproveSMT342988194676879281.smt2",0,4.14702584365656,4.641,4.926,1,0,0,
"QF_NIA_small\aproveSMT3496695621216907819.smt2",0,5.94969846491228,6.484,6.782,0,1,0,
