,"smt.arith.gomory_use_closest_int=false","-file:{0} smt.arith.gomory_use_closest_int=false",,,,,,
,"RV 11690","T_norm 11690","T_cpu 11690","T_wc 11690","# SAT 11690","# UNSAT 11690","# UNKNOWN 11690",
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,1.66352218355807,1.828,2.312,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.650153406686416,0.734,0.94,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,29.8861226497595,32.672,34.034,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.837067861715749,0.938,1.286,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.130899599542334,0.109,0.252,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.454190186712983,0.5,0.652,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.0568973020017406,0.063,0.15,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,8.67277802101576,9.469,9.976,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.165366779089376,0.188,0.245,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.0416932397959184,0.047,0.148,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.0779201430274136,0.094,0.225,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.115561868686869,0.109,0.18,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.0588433843384338,0.063,0.194,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.66122471416007,0.719,0.967,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.0401895491803279,0.047,0.204,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.0596759470561388,0.063,0.145,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,3.97340930674264,4,4.555,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,69.1554804309586,75.172,78.361,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,5.43478915662652,5.391,5.877,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,7.3039470996732,8.547,9.249,0,1,0,
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.59657984420643,3.531,3.71,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0795703505355406,0.078,0.186,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,0.695478723404255,0.766,0.95,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.745014245014245,0.75,1.032,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.0630120481927712,0.063,0.155,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.131433453960595,0.156,0.229,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0423779170267935,0.047,0.276,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.340032790592492,0.359,0.652,0,1,0,
