,"smt.arith.gomory_polarity=false","-file:{0} smt.arith.gomory_polarity=false",,,,,,
,"RV 11688","T_norm 11688","T_cpu 11688","T_wc 11688","# SAT 11688","# UNSAT 11688","# UNKNOWN 11688",
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,7.80331454121306,9.594,9.899,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,11.3935872544541,11.922,12.427,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.0771234762092018,0.094,0.181,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0523,0.063,0.12,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.59083675564682,3.016,3.241,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.16999005744587,1.266,1.611,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.0631642512077294,0.063,0.204,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.0665733197556008,0.078,0.448,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0558283518360376,0.063,0.117,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,876.781223805532,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.105827600161878,0.125,0.241,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.27499464209173,1.422,1.796,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.0538953009068426,0.063,0.449,1,0,0,
"QF_NIA_small\aproveSMT3400215009548742987.smt2",0,1.41814325601375,1.578,1.721,0,1,0,
"QF_NIA_small\aproveSMT3417012265546351137.smt2",0,0.223078081091931,0.266,0.411,1,0,0,
"QF_NIA_small\aproveSMT342988194676879281.smt2",0,4.15195803411131,4.422,4.636,1,0,0,
